clean.id,Q3.18_1,Q3.18_2,Q3.18_3,Q3.18_4,Q3.18_5,Q3.18_6,Q3.21_1,Q3.21_2,Q3.21_3,Q3.21_4
1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1325,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1324,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1120,NA,NA,NA,NA,1,NA,1,NA,1,NA
1343,NA,NA,NA,NA,1,NA,1,NA,1,1
1264,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1356,NA,1,1,NA,NA,NA,1,1,1,NA
1279,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1145,NA,NA,1,1,NA,NA,NA,NA,1,NA
1149,NA,1,1,NA,NA,NA,NA,NA,NA,1
1425,NA,NA,NA,NA,1,NA,NA,NA,NA,1
1510,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1135,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1095,NA,NA,NA,NA,1,NA,1,NA,1,NA
1117,1,NA,NA,NA,NA,NA,1,NA,1,NA
1159,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1152,NA,NA,1,NA,NA,NA,NA,NA,1,NA
1080,NA,NA,NA,NA,NA,1,NA,NA,1,NA
1020,NA,1,1,NA,NA,NA,NA,NA,NA,1
1109,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1403,1,1,1,1,NA,NA,1,1,1,NA
1403,1,1,1,NA,NA,NA,NA,NA,1,NA
1403,1,1,1,NA,NA,NA,NA,NA,1,NA
1403,1,1,1,NA,NA,NA,NA,NA,1,NA
1261,1,1,1,NA,NA,NA,1,NA,NA,NA
1453,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1411,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1131,NA,NA,1,1,NA,NA,NA,NA,NA,1
1150,1,1,1,NA,NA,NA,1,NA,1,NA
1150,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1150,NA,NA,NA,1,NA,NA,1,NA,1,NA
1249,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1089,NA,NA,NA,NA,1,NA,1,NA,1,NA
1370,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1370,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1098,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1126,1,1,NA,NA,NA,NA,1,1,1,NA
1390,1,NA,NA,NA,NA,NA,NA,1,1,NA
1390,NA,NA,NA,NA,NA,1,NA,NA,1,NA
1267,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1311,1,1,1,1,NA,NA,1,1,1,NA
1311,1,1,1,1,NA,NA,1,1,1,NA
1490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1298,NA,NA,NA,1,1,NA,1,1,1,NA
1158,1,NA,NA,NA,NA,NA,1,NA,1,NA
1323,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1231,NA,NA,NA,NA,NA,NA,1,NA,NA,1
1231,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1116,1,NA,1,1,NA,NA,1,NA,1,1
1363,1,NA,NA,NA,NA,NA,1,NA,1,NA
1035,1,NA,1,NA,NA,NA,1,NA,1,NA
1146,1,1,1,NA,NA,NA,NA,NA,1,NA
1338,1,NA,NA,NA,NA,NA,1,NA,1,NA
1237,1,1,1,NA,NA,NA,1,1,1,NA
1072,1,1,1,NA,NA,NA,1,NA,1,NA
1072,1,1,1,NA,NA,NA,NA,NA,1,NA
1236,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1475,1,1,1,NA,NA,NA,1,1,1,NA
1350,NA,NA,NA,NA,1,NA,NA,NA,1,NA
