clean.id,Q3.19,Q3.25,Q3.25_collapsed
1060,NA,NA,NA
1060,NA,NA,NA
1325,NA,NA,NA
1325,NA,NA,NA
1324,Not an important actor,NA,NA
1446,NA,NA,NA
1446,NA,NA,NA
1446,NA,NA,NA
1120,Not an important actor,NA,NA
1343,Don't know,NA,NA
1264,NA,NA,NA
1356,Not an important actor,NA,NA
1279,Don't know,NA,NA
1145,Somewhat important actor,Don't know,Don't know
1149,Somewhat important actor,Mixed,Mixed
1425,Don't know,NA,NA
1510,Most important actor,Positive,Positive
1135,Not an important actor,NA,NA
1095,Somewhat important actor,Mixed,Mixed
1117,Somewhat important actor,Positive,Positive
1159,Most important actor,Positive,Positive
1152,Somewhat important actor,Mixed,Mixed
1080,Most important actor,Mixed,Mixed
1020,Most important actor,Positive,Positive
1109,Don't know,NA,NA
1403,Most important actor,Mixed,Mixed
1403,Most important actor,Mixed,Mixed
1403,Most important actor,Mixed,Mixed
1403,Most important actor,Mixed,Mixed
1261,Most important actor,Positive,Positive
1453,Somewhat important actor,Positive,Positive
1411,Somewhat important actor,Positive,Positive
1023,Don't know,NA,NA
1225,Not an important actor,NA,NA
1131,Most important actor,Positive,Positive
1150,Most important actor,Negative,NA
1150,Don't know,NA,NA
1150,Somewhat important actor,Positive,Positive
1249,Not an important actor,NA,NA
1089,Somewhat important actor,Positive,Positive
1370,Not an important actor,NA,NA
1370,Not an important actor,NA,NA
1098,Don't know,NA,NA
1126,Somewhat important actor,Positive,Positive
1390,Somewhat important actor,Don't know,Don't know
1390,Don't know,NA,NA
1267,Somewhat important actor,Positive,Positive
1311,Most important actor,Mixed,Mixed
1311,Most important actor,Positive,Positive
1490,NA,NA,NA
1298,Somewhat important actor,Mixed,Mixed
1158,Most important actor,Positive,Positive
1323,Somewhat important actor,Don't know,Don't know
1231,NA,NA,NA
1231,NA,NA,NA
1116,Most important actor,Positive,Positive
1363,Most important actor,Mixed,Mixed
1035,Most important actor,Don't know,Don't know
1146,Most important actor,Positive,Positive
1338,Somewhat important actor,Positive,Positive
1237,Most important actor,Positive,Positive
1072,Most important actor,Positive,Positive
1072,Most important actor,Don't know,Don't know
1236,Somewhat important actor,Positive,Positive
1475,Most important actor,Positive,Positive
1350,Most important actor,Positive,Positive
1082,Not an important actor,NA,NA
1393,Don't know,NA,NA
1400,Don't know,NA,NA
1400,Don't know,NA,NA
1509,Most important actor,Positive,Positive
1007,Somewhat important actor,Positive,Positive
1110,Somewhat important actor,Mixed,Mixed
1476,Somewhat important actor,Positive,Positive
1232,NA,NA,NA
1232,NA,NA,NA
1055,Somewhat important actor,Positive,Positive
1497,Most important actor,Positive,Positive
1459,Not an important actor,NA,NA
1352,NA,NA,NA
1041,Most important actor,Positive,Positive
1233,Somewhat important actor,Mixed,Mixed
1172,Somewhat important actor,Positive,Positive
1032,Most important actor,Positive,Positive
1143,Somewhat important actor,Positive,Positive
1410,Most important actor,Positive,Positive
1209,Somewhat important actor,Positive,Positive
1063,Somewhat important actor,Positive,Positive
1239,Don't know,NA,NA
1086,NA,NA,NA
1086,NA,NA,NA
1463,NA,NA,NA
1463,NA,NA,NA
1136,Not an important actor,NA,NA
1070,Somewhat important actor,Don't know,Don't know
1389,Don't know,NA,NA
1389,Not an important actor,NA,NA
1468,Somewhat important actor,Positive,Positive
1468,Don't know,NA,NA
1433,Somewhat important actor,Don't know,Don't know
1057,Most important actor,Mixed,Mixed
1219,Somewhat important actor,Mixed,Mixed
1128,Somewhat important actor,Positive,Positive
1012,Most important actor,Mixed,Mixed
1132,Not an important actor,NA,NA
1314,Somewhat important actor,Mixed,Mixed
1015,NA,NA,NA
1238,Somewhat important actor,Positive,Positive
1238,Somewhat important actor,Positive,Positive
1118,Not an important actor,NA,NA
1438,Somewhat important actor,Positive,Positive
1056,Most important actor,Mixed,Mixed
1435,Somewhat important actor,Don't know,Don't know
1065,Most important actor,Positive,Positive
1054,Somewhat important actor,Mixed,Mixed
1181,Somewhat important actor,Don't know,Don't know
1016,Don't know,NA,NA
1294,Somewhat important actor,Mixed,Mixed
1042,Somewhat important actor,Positive,Positive
1050,NA,NA,NA
1090,Most important actor,Positive,Positive
1372,Somewhat important actor,Positive,Positive
1385,Somewhat important actor,Positive,Positive
1114,NA,NA,NA
1114,NA,NA,NA
1114,NA,NA,NA
