clean.id,Q1.2,Q1.3,Q1.4,home.country,work.only.us,Q1.5,Q1.5.factor,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_4_TEXT,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_3_TEXT,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q2.4_5,Q2.4_5_TEXT,Q2.5,Q2.6,Q4.1,num.country.responses,start.time,end.time,finished,done,survey.method,loop.number,Q3.2,work.country,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.5_5,Q3.5_5_TEXT,Q3.5_5_LawEnforcement,Q3.5_5_Education,Q3.5_5_DomesticGovernment,Q3.5_5_ReligiousGroups,Q3.5_5_Embassies,Q3.5_5_InternationalGroups,Q3.5_5_NGOs,Q3.5_5_Other,Q3.5_5_Media,Q3.5_5_ExperienceofSurviviors,Q3.5_5_PrivateSector,Q3.5_5_Unions,Q3.6,Q3.7,Q3.8,Q3.9_1,Q3.9_2,Q3.9_3,Q3.9_4,Q3.9_5,Q3.9_6,Q3.9_7,Q3.9_8,Q3.9_9,Q3.9_10,Q3.10,Q3.11,Q3.12,Q3.13,Interest,Q3.14,Q3.15,Q3.16,Q3.17,Q3.18_1,Q3.18_2,Q3.18_3,Q3.18_4,Q3.18_4_TEXT,Q3.18_5,Q3.18_6,Q3.19,Q3.20,Q3.21_1,Q3.21_2,Q3.21_3,Q3.21_4,Q3.21_4_TEXT,LocalCommunity_3.21.1,LocalGovernment_3.21.2,Youth_3.21.3,Funding_3.21.4,NationalGovernment_3.21.5,ReligiousGroups.Churches._3.21.6,PrivateSector_3.21.7,Media_3.21.8,Victims_3.21.9,Universities_3.21.10,Police_3.21.11,Courts.Legal_3.21.12,Unions_3.21.13,Training_3.21.14,OtherOrgs_3.21.15,NGO.Interpretation_3.21.16,Other_3.21.17,Q3.22,Q3.23,Q3.24.Text,Q3.24_Negative.AgainstTIP,Q3.24_Negative.General,Q3.24_OfficalCommentsOnTIP.Gov.Context.,Q3.24_UnofficialCommentsOnTIP,Q3.24_NGOs.CSOs,Q3.24_AssessmentPurposes.General,Q3.24_Policy,Q3.24_Conferences.Meetings,Q3.24_Other,Q3.24_CommentMadeInOtherContext,Q3.24_Efforts,Q3.24_Media,Q3.24_Awareness,Q3.24_Research,Q3.25,Q3.26,Q3.27,Q3.28,Q3.29,Q3.30,work.country.clean,avg_tier,improve_tip,change_policy,total.funding,avg.funding,total.funding.ngos,avg.funding.ngos,total.freedom,positivity,importance,improvement,received.funding,us.involvement,us.hq,Q3.25_collapsed,home.region,work.region,home.iso3,work.iso3
1060,Organization 1060,Yes,187,United States,No,3,3,91,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,Yes,Yes,REDACTED,2,2014-07-03T17:37:00Z,2014-07-03T18:17:00Z,1,1,Online,1,65,Germany,A lot,Sometimes,NA,1,NA,1,1,REDACTED,0,0,0,0,0,1,0,0,0,0,0,0,Sweden/EU,Sweden/EU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not too hard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tier 1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Improved,No,NA,Very little restricted,NA,Germany,1.0,0,-1,0.0,0.0,NA,NA,2,NA,NA,1,FALSE,TRUE,TRUE,NA,Americas,Europe,USA,DEU
1060,Organization 1060,Yes,187,United States,No,3,3,91,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,Yes,Yes,REDACTED,2,2014-07-03T17:37:00Z,2014-07-03T18:17:00Z,1,1,Online,2,142,Romania,A lot,Never,NA,1,1,NA,NA,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU,EU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not too hard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tier 2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,No,NA,Very little restricted,NA,Romania,2.0714285714285716,-1,5,2351514.0,87093.11111111111,1209388.0,201564.66666666666,4,NA,NA,NA,FALSE,TRUE,TRUE,NA,Americas,Europe,USA,ROU
1325,"trafficJ.A.M., International",No,187,United States,No,5,5+,85,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,Yes,No,When we train our volunteers we mention the pressure created by the U.S. T.I.P. report on foreign governments and consider this to work in our favor.,2,2014-07-03T18:05:00Z,2014-07-03T18:39:00Z,1,1,Online,1,52,Ecuador,A lot,Sometimes,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat hard,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tier 2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Improved,No,NA,Very little restricted,NA,Ecuador,2.272727272727273,-1,7,7856040.0,327335.0,1748090.0,218511.25,6,NA,NA,1,FALSE,TRUE,TRUE,NA,Americas,Americas,USA,ECU
1325,"trafficJ.A.M., International",No,187,United States,No,5,5+,85,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,Yes,No,When we train our volunteers we mention the pressure created by the U.S. T.I.P. report on foreign governments and consider this to work in our favor.,2,2014-07-03T18:05:00Z,2014-07-03T18:39:00Z,1,1,Online,2,111,Mexico,Some,Rarely,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Several from Latin America and Europe - I'd have to look them up,i don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not too hard,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,Tier 2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Remained constant,No,NA,Very little restricted,NA,Mexico,2.142857142857143,0,4,26756629.0,524639.7843137255,10857275.0,361909.1666666667,5,NA,NA,0,FALSE,TRUE,TRUE,NA,Americas,Americas,USA,MEX
1324,Awareness Against Human Trafficking (HAART),No,89,Kenya,No,1,1,91,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,Yes,Yes,"The government has implemented the Counter Trafficking in Persons Act, but almost none of it has been implemented. Furthermore, the big organizations like IOM who pushed for it is no longer very active in trafficking (they have no funding for fighting trafficking). I think Kenya should be place further down, on Tier 3. But the stuff in the report on Kenya is very old, they basically just copies it from the previous year it seems. Very little reliable research exists, e.g. the Walk Free research from 2013 is not even based on Kenya but drawn from other countries. (they have said they will make more research this year though)",1,2014-07-04T09:44:00Z,2014-07-04T09:55:00Z,1,1,Online,1,89,Kenya,A lot,Rarely,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,"I have heard that USAID gives funding for such things, but we have not seen it in HAART.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Not an important actor,Not hard at all,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Watch list,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slowed down,No,NA,Very little restricted,NA,Kenya,2.25,0,1,6255150.0,367950.0,869150.0,144858.33333333334,7,NA,0,-1,FALSE,FALSE,FALSE,NA,Africa,Africa,KEN,KEN
1446,Children of the Night,No,187,United States,No,5,5+,100,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,No,No,no,4,2014-07-06T14:47:00Z,2014-07-06T14:56:00Z,1,1,Online,2,185,United Kingdom,A lot,Sometimes,NA,NA,NA,NA,1,local police,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not too hard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Improved,No,NA,Not restricted,NA,United Kingdom,1.0,0,2,0.0,0.0,NA,NA,2,NA,NA,1,FALSE,TRUE,TRUE,NA,Americas,Europe,USA,GBR
1446,Children of the Night,No,187,United States,No,5,5+,100,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,No,No,no,4,2014-07-06T14:47:00Z,2014-07-06T14:56:00Z,1,1,Online,3,84,Italy,A lot,Sometimes,NA,1,NA,NA,1,local police,0,0,0,1,0,0,0,0,0,0,0,0,Vatican,Vatican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat hard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Improved,No,NA,Not restricted,NA,Italy,1.0,0,3,0.0,0.0,NA,NA,2,NA,NA,1,FALSE,TRUE,TRUE,NA,Americas,Europe,USA,ITA
1446,Children of the Night,No,187,United States,No,5,5+,100,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,No,No,no,4,2014-07-06T14:47:00Z,2014-07-06T14:56:00Z,1,1,Online,4,126,Nigeria,A lot,Sometimes,NA,NA,NA,NA,1,local police,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not hard at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Improved,No,NA,Not restricted,NA,Nigeria,1.8214285714285714,0,5,3295e3,183055.55555555556,1928e3,275428.5714285714,8,NA,NA,1,FALSE,TRUE,TRUE,NA,Americas,Africa,USA,NGA
1120,ECPAT Germany,No,65,Germany,No,1,1,70,NA,1,NA,1,forced begging,1,NA,NA,NA,1,1,1,NA,1,Lobbying and networking ,Yes,Yes,NA,1,2014-07-07T12:38:00Z,2014-07-07T12:45:00Z,1,1,Online,1,65,Germany,A lot,Weekly,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Not an important actor,Not too hard,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tier 1,Yes,"Lack of numbers, studies  and statistics in Germany",0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,Improved,No,NA,Very little restricted,NA,Germany,1.0,0,-1,0.0,0.0,NA,NA,2,NA,0,1,FALSE,FALSE,FALSE,NA,Europe,Europe,DEU,DEU
1343,Organization 1343,Yes,31,Canada,No,1,1,92,NA,1,1,NA,NA,NA,NA,1,REDACTED,1,NA,NA,NA,NA,NA,Yes,No,REDACTED,1,2014-07-07T12:38:00Z,2014-07-07T12:57:00Z,1,1,Online,1,31,Canada,A lot,Sometimes,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Don't know,Very hard,1,NA,1,1,REDACTED,1,2,NA,NA,5,6,NA,NA,NA,10,NA,NA,NA,NA,NA,16,NA,Tier 1,Yes,REDACTED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,Improved,No,NA,Not restricted,NA,Canada,1.0714285714285714,0,3,210194.0,15013.857142857143,3e3,3e3,2,NA,NA,1,FALSE,FALSE,FALSE,NA,Americas,Americas,CAN,CAN
